# 格式: 标准名称|别名1,别名2,别名3,...
CCTV-4 中文国际|CCTV-4 (亚洲)
CCTV-4 中文国际欧洲|CCTV-4 (欧洲)
CCTV-4 中文国际美洲|CCTV-4 (美洲)
CCTV兵器科技|兵器科技,CCTV-兵器科技,CCTV兵器科技
CCTV4K 超高清|CCTV-4K
CETV-1 综合教育|CETV-1
CETV-2 教育教学|CETV-2
CETV-3 北京地面|CETV-3,教育三套,中国教育三套,中国教育3套
CETV-4 职业教育|CETV-4
CGTN俄语|CCTV-Русский
CGTN法语|CCTV-Français
CGTN西语|CCTV-Español
CGTN阿语|CCTV-العربية
CGTN纪录|CCTV-9 纪录(英)
CCTV-16 奥林匹克|CCTV-16奥林匹克,央视奥林匹克
CCTV-17 农业农村|CCTV-17农业农村
广东卫视 4K|广东卫视,广东卫视 4K超高清
深圳卫视 4K|深圳卫视,深圳卫视 4K超高清
北京卫视 4K|北京卫视,北京卫视 4K超高清
江西陶瓷|陶瓷,taoci
中央新影-中学生|中学生,CCTV中学生,CCTV-中学生,cctv中学生,cctv-中学生
中央新影-老故事|老故事,CCTV老故事,CCTV-老故事,cctv老故事,cctv-老故事
中央新影-发现之旅|发现之旅,CCTV发现之旅,CCTV-发现之旅,cctv发现之旅,cctv-发现之旅
4KUHD|纯享4K,4KUH,4ku,4KU,UHD,4KUHD
茶频道|茶,湖南茶频道,湖南茶,茶频道
品质大剧|东方品质大剧,上海品质大剧,上海品质,东方品质,品质大剧
三立戏剧台|三立戲劇台,三立戲劇,三立戏剧,三立戏剧台
AMC电影台|AMC,AMC电影,AMC电影台,amc电影台
中天娱乐|中天娛樂台,中天娛樂,中天娱乐台,中天娛樂臺,中天娱乐
纬来精采|纬来精采HD,緯來精采台,緯來精采,緯來精采臺,纬来精采,纬来精采台
八大戏剧台|八大戲劇臺,八大戲劇,八大戏剧,八大戏剧台
八大第一台|八大第一臺,八大第一,八大第一台
延边汉语|YBTV-2,YBTV2
延边朝语|YBTV-1,YBTV1
国学频道|国学,说文解字
浙江之江纪录|之江纪录
浙江好易购|好易购
宁波新闻综合|NBTV-1
宁波经济生活|NBTV-2
宁波都市文体|NBTV-3
宁波影视剧|NBTV-4
